GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator,com.openclassrooms.testing,Calculator,8,39,0,2,2,8,2,5,2,4
calculator,com.openclassrooms.testing,Main,7,0,0,0,3,0,2,0,2,0
